,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
277527,99,2018-05-29,94600,96100,93500,94800,2733549,258238750800,000660
277528,100,2018-05-30,94800,95700,92800,95000,3808299,358341610230,000660
277529,101,2018-05-31,94500,94700,92800,93400,5996671,560830087340,000660
277530,102,2018-06-01,90800,92200,89600,91400,4790644,435439684800,000660
277531,103,2018-06-04,91000,92400,89700,89800,3141036,285050047520,000660
277532,104,2018-06-05,89800,91300,89800,91000,2758383,249932108800,000660
277533,105,2018-06-07,92700,92700,90600,90900,2754947,251659469200,000660
277534,106,2018-06-08,91000,91000,87600,88400,4579508,406697274000,000660
277535,107,2018-06-11,88800,90200,88100,89200,2535933,226548729300,000660
277536,108,2018-06-12,89900,90100,88200,88400,1876012,166593786100,000660
277537,109,2018-06-14,88300,88300,86300,86300,4646948,404542255500,000660
277538,110,2018-06-15,87400,87800,86100,87000,2945006,256441655360,000660
277539,111,2018-06-18,86800,86900,82300,84000,4723914,396093543200,000660
277540,112,2018-06-19,84100,86100,83700,84100,3824878,324431586200,000660
277541,113,2018-06-20,85800,88100,85000,87800,4183210,363766830550,000660
277542,114,2018-06-21,88900,89300,87500,88500,3274612,290122368300,000660
277543,115,2018-06-22,87300,89500,86700,89500,2569978,227612457900,000660
277544,116,2018-06-25,88800,88800,84600,84800,4420542,378252844300,000660
277545,117,2018-06-26,82500,84800,82400,84300,5518522,461841150810,000660
277546,118,2018-06-27,85700,86400,85200,85200,3798356,325862490170,000660
277547,119,2018-06-28,83000,84000,82500,83500,3838303,319415630000,000660
277548,120,2018-06-29,83500,85700,83400,85700,3003603,255024575500,000660
277549,121,2018-07-02,85000,86000,83400,83700,2033542,172154661200,000660
277550,122,2018-07-03,85000,86500,84500,86100,2817592,241238760400,000660
277551,123,2018-07-04,87800,87800,84400,85000,2744382,235835060100,000660
277552,124,2018-07-05,85000,87300,85000,86200,2059342,177451669100,000660
277553,125,2018-07-06,86200,86200,83600,85300,3482186,295457803550,000660
277554,126,2018-07-09,85300,87600,85300,87600,2127205,183951205200,000660
277555,127,2018-07-10,88400,88600,86700,87300,2002682,175121743300,000660
277556,128,2018-07-11,86500,87600,85900,86800,2037358,176787327100,000660
277557,129,2018-07-12,86800,87000,85400,85600,3032951,260210470080,000660
277558,130,2018-07-13,86500,90100,86500,88800,4535954,403597606800,000660
277559,131,2018-07-16,88700,89300,87800,89300,1896459,167920787400,000660
277560,132,2018-07-17,90100,90200,88500,88600,1570129,140120405380,000660
277561,133,2018-07-18,89700,91000,89100,89300,1937496,174195889600,000660
277562,134,2018-07-19,90400,91200,90300,90300,2383489,216436808900,000660
277563,135,2018-07-20,89700,90000,87200,87900,3726334,328519209200,000660
277564,136,2018-07-23,86300,86400,81200,81700,7076375,588793840200,000660
277565,137,2018-07-24,82500,83800,81700,83600,4023740,333477939400,000660
277566,138,2018-07-25,83400,84000,80200,80500,4154596,338890658900,000660
277567,139,2018-07-26,81300,83800,78600,83100,6218102,509230565600,000660
277568,140,2018-07-27,83700,86400,83100,86100,4943923,422783224800,000660
277569,141,2018-07-30,86200,86400,85100,85900,2301941,197795962600,000660
277570,142,2018-07-31,85200,86300,84500,86300,2804543,240318801400,000660
277571,143,2018-08-01,85900,86400,85100,85600,2265008,193516661600,000660
277572,144,2018-08-02,85000,85600,82900,83200,3373964,283594511700,000660
277573,145,2018-08-03,84000,84100,83100,83300,1928574,160825425800,000660
277574,146,2018-08-06,82200,82300,79300,79400,5910100,474806677400,000660
277575,147,2018-08-07,80100,80800,79700,80700,3288142,264370508300,000660
277576,148,2018-08-08,81500,81600,79400,79800,2804784,226130554300,000660
277577,149,2018-08-09,80100,80300,77500,78000,5587662,437940147700,000660
277578,150,2018-08-10,77200,77600,74600,75100,6785694,511787735700,000660
277579,151,2018-08-13,74300,75700,74100,75400,3734794,280618262980,000660
277580,152,2018-08-14,75900,76600,75500,75900,3206407,243940354700,000660
277581,153,2018-08-16,73500,75400,72500,74700,5550888,410195136500,000660
277582,154,2018-08-17,74400,75500,74100,74500,2647963,197869068100,000660
277583,155,2018-08-20,74700,75400,74400,74700,2048829,153321182900,000660
277584,156,2018-08-21,74800,78700,74400,78400,5663191,435300685300,000660
277585,157,2018-08-22,79300,80900,78200,79800,5295710,422644336400,000660
277586,158,2018-08-23,80300,81300,79300,81100,3272130,263690430900,000660
277587,159,2018-08-24,80400,82200,79600,81800,3612709,293497347800,000660
277588,160,2018-08-27,82100,83800,81600,83500,3070598,254582534500,000660
277589,161,2018-08-28,84100,84300,81900,82400,4466308,371971745400,000660
277590,162,2018-08-29,82500,83300,81600,82800,2330703,192500586620,000660
277591,163,2018-08-30,82200,83500,81500,82700,2337573,193642727000,000660
277592,164,2018-08-31,81800,83000,81800,83000,2303812,190305297800,000660
277593,165,2018-09-03,82200,82800,80500,80600,2618619,212810467300,000660
277594,166,2018-09-04,80600,81600,80200,81200,1903734,154443119600,000660
277595,167,2018-09-05,80600,81000,79900,80000,2627619,211172993100,000660
277596,168,2018-09-06,78300,78900,77400,78800,4516654,353117966300,000660
